Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1
675,1247,1309,871,585,208,476,1316,491,942,906
675,1246,1269,841,639,219,482,1316,478,927,610
675,1079,1414,765,657,299,472,1307,497,907,459
675,1079,1372,805,654,304,471,1292,513,901,443
675,1079,1298,879,647,298,476,1300,424,990,438
675,1079,1245,932,647,297,462,1315,424,964,437
701,1079,1164,1012,646,299,462,1314,425,846,437
888,1079,1164,1012,564,366,477,1166,573,799,437
888,953,902,1400,525,404,423,1101,693,555,445
888,316,1349,1590,499,430,423,1016,778,526,551
587,607,1303,1646,370,559,423,858,936,518,551
587,604,1305,1647,370,559,423,857,937,515,604
574,646,1209,1745,370,559,421,858,925,528,605
573,650,1194,1764,349,580,387,828,989,528,608
523,702,1191,1767,300,629,373,799,1032,528,608
523,702,1155,1803,300,629,364,678,1146,544,426
482,740,1158,1603,500,626,367,661,1162,545,394
479,724,1170,1587,523,615,378,661,1162,545,395
464,645,1189,1658,527,561,432,534,1289,545,357
465,646,1178,1669,527,561,432,471,1352,545,421
465,646,1131,1649,594,561,421,248,1460,668,397
465,632,1145,1649,594,561,417,218,1491,670,396
421,509,1312,1649,594,473,408,313,1493,670,396
421,509,1312,1647,596,473,343,338,1533,658,407
421,509,1312,1647,596,473,335,346,1533,608,296
385,545,1312,1647,596,473,303,377,1452,690,290
345,633,1312,1637,606,473,283,397,1449,693,287
612,633,1312,1299,944,473,283,389,1434,562,287
722,633,1282,1296,977,473,275,395,1355,504,281
731,633,1247,1326,980,459,243,441,1329,511,281
908,633,1247,1326,900,539,208,476,1329,478,281
868,675,1247,1309,871,585,208,476,1316,491,342
873,675,1246,1269,841,639,219,482,1316,478,383
896,675,1079,1414,765,657,299,472,1307,497,383
905,675,1079,1372,805,654,304,471,1292,513,390
962,675,1079,1298,879,647,298,476,1300,424,410
1078,675,1079,1245,932,647,297,462,1315,424,454
1090,701,1079,1164,1012,646,299,462,1314,425,454
912,888,1079,1164,1012,564,366,477,1166,573,454
920,888,953,902,1400,525,404,423,1101,693,446
920,888,316,1349,1590,499,430,423,1016,778,315
920,587,607,1303,1646,370,559,423,858,936,335
920,587,604,1305,1647,370,559,423,857,937,323
889,574,646,1209,1745,370,559,421,858,925,322
882,573,650,1194,1764,349,580,387,828,989,349
891,523,702,1191,1767,300,629,373,799,1032,418
891,523,702,1155,1803,300,629,364,678,1146,667
891,482,740,1158,1603,500,626,367,661,1162,728
891,479,724,1170,1587,523,615,378,661,1162,763
891,464,645,1189,1658,527,561,432,534,1289,763
889,465,646,1178,1669,527,561,432,471,1352,699
889,465,646,1131,1649,594,561,421,248,1460,706
889,465,632,1145,1649,594,561,417,218,1491,767
985,421,509,1312,1649,594,473,408,313,1493,962
1082,421,509,1312,1647,596,473,343,338,1533,951
1090,421,509,1312,1647,596,473,335,346,1533,986
1090,385,545,1312,1647,596,473,303,377,1452,1014
1042,345,633,1312,1637,606,473,283,397,1449,1034
780,612,633,1312,1299,944,473,283,389,1434,1040
716,722,633,1282,1296,977,473,275,395,1355,1040
710,731,633,1247,1326,980,459,243,441,1329,1066
533,908,633,1247,1326,900,539,208,476,1329,1184
531,868,675,1247,1309,871,585,208,476,1316,1170
839,873,675,1246,1269,841,639,219,482,1316,1373
839,896,675,1079,1414,765,657,299,472,1307,1402
863,905,675,1079,1372,805,654,304,471,1292,1397
865,962,675,1079,1298,879,647,298,476,1300,1380
749,1078,675,1079,1245,932,647,297,462,1315,1336
715,1090,701,1079,1164,1012,646,299,462,1314,1336
713,912,888,1079,1164,1012,564,366,477,1166,1336
709,920,888,953,902,1400,525,404,423,1101,1336
890,920,888,316,1349,1590,499,430,423,1016,1336
1136,920,587,607,1303,1646,370,559,423,858,1316
1144,920,587,604,1305,1647,370,559,423,857,1275
1214,889,574,646,1209,1745,370,559,421,858,1275
1352,882,573,650,1194,1764,349,580,387,828,1248
1470,891,523,702,1191,1767,300,629,373,799,1180
1507,891,523,702,1155,1803,300,629,364,678,931
1507,891,482,740,1158,1603,500,626,367,661,882
1507,891,479,724,1170,1587,523,615,378,661,896
1507,891,464,645,1189,1658,527,561,432,534,896
1507,889,465,646,1178,1669,527,561,432,471,896
1659,889,465,646,1131,1649,594,561,421,248,1043
1758,889,465,632,1145,1649,594,561,417,218,1121
1805,985,421,509,1312,1649,594,473,408,313,947
1768,1082,421,509,1312,1647,596,473,343,338,977
1812,1090,421,509,1312,1647,596,473,335,346,942
1828,1090,385,545,1312,1647,596,473,303,377,927
2000,1042,345,633,1312,1637,606,473,283,397,907
2010,780,612,633,1312,1299,944,473,283,389,901
2055,716,722,633,1282,1296,977,473,275,395,990
2052,710,731,633,1247,1326,980,459,243,441,964
2060,533,908,633,1247,1326,900,539,208,476,846
2065,531,868,675,1247,1309,871,585,208,476,799
1789,839,873,675,1246,1269,841,639,219,482,555
1767,839,896,675,1079,1414,765,657,299,472,526
1734,863,905,675,1079,1372,805,654,304,471,518
1675,865,962,675,1079,1298,879,647,298,476,515
1675,749,1078,675,1079,1245,932,647,297,462,528
1683,715,1090,701,1079,1164,1012,646,299,462,528
1687,713,912,888,1079,1164,1012,564,366,477,528
1719,709,920,888,953,902,1400,525,404,423,544
1538,890,920,888,316,1349,1590,499,430,423,545
1292,1136,920,587,607,1303,1646,370,559,423,545
1286,1144,920,587,604,1305,1647,370,559,423,545
1218,1214,889,574,646,1209,1745,370,559,421,545
1080,1352,882,573,650,1194,1764,349,580,387,668
951,1470,891,523,702,1191,1767,300,629,373,670
914,1507,891,523,702,1155,1803,300,629,364,670
