Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2
613,928,1507,1533,1872
544,997,1507,1452,1883
624,997,1507,1449,2057
640,845,1659,1434,2057
688,746,1758,1355,1690
702,617,1805,1329,1871
816,557,1768,1329,1902
821,511,1812,1316,1787
829,497,1828,1316,1792
906,325,2000,1307,1719
917,310,2010,1292,1719
942,219,2055,1300,1715
942,219,2052,1315,1654
945,211,2060,1314,1464
938,234,2065,1166,1311
990,197,1789,1101,1217
1012,196,1767,1016,911
1013,196,1734,858,860
1013,196,1675,857,852
930,279,1675,858,897
987,267,1683,828,948
1003,256,1687,799,1015
895,328,1719,678,1006
960,328,1538,661,985
935,358,1292,661,967
861,441,1286,534,964
910,440,1218,471,973
943,443,1080,248,973
772,614,951,218,968
760,626,914,313,925
760,612,928,338,941
759,613,928,346,904
792,544,997,377,903
