Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2
1124,1046,1354,719,486
1188,903,1467,691,486
1172,962,1467,510,530
1200,918,1550,341,526
1205,884,1616,260,473
1197,854,1650,199,536
1182,869,1643,284,536
1182,869,1642,293,536
1181,870,1483,286,536
1051,946,1503,279,536
1036,939,1409,295,505
1092,948,1355,295,458
999,1147,1303,219,438
839,1391,1297,219,468
907,1343,1228,220,519
956,1240,1244,248,549
985,1221,1164,301,514
987,1222,1110,302,466
952,1104,1242,389,466
952,1070,1276,389,467
1144,1056,1290,411,462
1147,1020,1181,433,456
1147,898,1251,443,437
1147,881,1263,511,434
1157,868,1249,582,439
1154,871,1247,584,426
1141,851,1271,700,457
1128,863,1272,710,511
1123,868,1240,710,581
1051,954,1227,696,640
980,1036,1157,688,720
924,1124,1046,686,733
859,1188,903,726,743
817,1172,962,754,696
744,1200,918,754,611
707,1205,884,754,565
729,1197,854,844,494
769,1182,869,807,546
769,1182,869,794,604
820,1181,870,934,683
897,1051,946,937,744
874,1036,939,921,761
823,1092,948,921,761
753,999,1147,920,745
727,839,1391,938,744
670,907,1343,916,707
668,956,1240,890,694
708,985,1221,797,692
758,987,1222,793,691
780,952,1104,706,691
851,952,1070,728,690
717,1144,1056,706,690
723,1147,1020,684,690
794,1147,898,675,690
819,1147,881,610,710
815,1157,868,539,710
923,1154,871,537,708
1135,1141,851,420,705
1167,1128,863,409,692
1219,1123,868,410,648
1280,1051,954,485,589
1305,980,1036,563,525
1272,924,1124,572,539
1285,859,1188,555,543
1404,817,1172,527,636
1400,744,1200,655,636
1400,707,1205,719,636
1378,729,1197,645,636
1338,769,1182,598,584
1355,769,1182,597,533
1322,820,1181,493,473
1341,897,1051,503,413
1375,874,1036,525,396
1426,823,1092,525,402
1424,753,999,525,462
1374,727,839,507,433
1441,670,907,506,419
1452,668,956,504,381
1384,708,985,565,395
1331,758,987,595,511
1309,780,952,651,555
1336,851,952,673,774
1330,717,1144,710,787
1334,723,1147,780,787
1263,794,1147,781,787
1263,819,1147,778,767
1267,815,1157,781,762
1161,923,1154,781,784
952,1135,1141,782,789
920,1167,1128,782,773
868,1219,1123,860,773
1064,1280,1051,785,773
1087,1305,980,707,757
1117,1272,924,698,731
1123,1285,859,675,712
1057,1404,817,675,619
1209,1400,744,561,619
1209,1400,707,497,619
1209,1378,729,472,685
1288,1338,769,468,685
1271,1355,769,518,678
1253,1322,820,482,661
1157,1341,897,506,663
1123,1375,874,542,668
1058,1426,823,546,693
1021,1424,753,551,626
1013,1374,727,551,626
929,1441,670,551,675
871,1452,668,554,681
870,1384,708,579,673
870,1331,758,550,595
881,1309,780,494,551
787,1336,851,450,332
779,1330,717,438,319
769,1334,723,389,327
785,1263,794,409,368
760,1263,819,473,369
750,1267,815,470,367
748,1161,923,591,343
745,952,1135,594,311
745,920,1167,594,286
745,868,1219,523,260
474,1064,1280,557,260
415,1087,1305,590,260
385,1117,1272,591,259
366,1123,1285,607,293
312,1057,1404,624,293
157,1209,1400,756,316
157,1209,1400,756,316
159,1209,1378,756,250
90,1288,1338,756,285
117,1271,1355,769,396
117,1253,1322,809,443
117,1157,1341,997,487
117,1123,1375,940,488
208,1058,1426,936,517
222,1021,1424,931,540
222,1013,1374,938,540
356,929,1441,947,491
364,871,1452,944,485
364,870,1384,858,492
364,870,1331,857,822
353,881,1309,857,822
666,787,1336,857,822
678,779,1330,832,822
748,769,1334,811,814
733,785,1263,789,773
733,760,1263,725,770
733,750,1267,725,779
733,748,1161,607,813
733,745,952,603,812
733,745,920,609,812
733,745,868,610,812
733,474,1064,618,812
757,415,1087,585,930
791,385,1117,584,1024
791,366,1123,568,991
791,312,1057,551,1016
793,157,1209,405,1053
793,157,1209,486,1053
791,159,1209,717,1053
781,90,1288,717,1018
754,117,1271,896,907
772,117,1253,883,858
929,117,1157,667,1022
937,117,1123,887,1062
